
# Curve 0 of 1, 125 points
# Curve title: "1st dose"
# x y xlow xhigh type
-1  192703 -1 -1  i
 362  21  362  362  i
 363  57  363  363  i
 364  91  364  364  i
 365  64  365  365  i
 367  3  367  367  i
 371  7  371  371  i
 372  30  372  372  i
 373  52  373  373  i
 374  4  374  374  i
 375  8  375  375  i
 376  61  376  376  i
 377  146  377  377  i
 378  138  378  378  i
 379  122  379  379  i
 380  103  380  380  i
 381  5  381  381  i
 382  4  382  382  i
 383  111  383  383  i
 384  105  384  384  i
 385  129  385  385  i
 386  111  386  386  i
 387  79  387  387  i
 388  0  388  388  i
 389  39  389  389  i
 390  47  390  390  i
 391  78  391  391  i
 392  71  392  392  i
 393  103  393  393  i
 394  43  394  394  i
 395  0  395  395  i
 396  0  396  396  i
 397  13  397  397  i
 398  10  398  398  i
 399  17  399  399  i
 400  31  400  400  i
 401  36  401  401  i
 402  0  402  402  i
 403  0  403  403  i
 404  8  404  404  i
 405  24  405  405  i
 406  4  406  406  i
 407  40  407  407  i
 408  55  408  408  i
 409  1  409  409  i
 411  36  411  411  i
 412  42  412  412  i
 413  58  413  413  i
 414  53  414  414  i
 415  9  415  415  i
 417  3  417  417  i
 418  100  418  418  i
 419  86  419  419  i
 420  242  420  420  i
 421  250  421  421  i
 422  168  422  422  i
 423  26  423  423  i
 424  6  424  424  i
 425  304  425  425  i
 426  457  426  426  i
 427  759  427  427  i
 428  851  428  428  i
 429  584  429  429  i
 430  45  430  430  i
 431  53  431  431  i
 432  1372  432  432  i
 433  1670  433  433  i
 434  1964  434  434  i
 435  2178  435  435  i
 436  1497  436  436  i
 437  1504  437  437  i
 438  1299  438  438  i
 439  2519  439  439  i
 440  3790  440  440  i
 441  3858  441  441  i
 442  3901  442  442  i
 443  3621  443  443  i
 444  749  444  444  i
 445  244  445  445  i
 446  1512  446  446  i
 447  1431  447  447  i
 448  1432  448  448  i
 449  1398  449  449  i
 450  1143  450  450  i
 451  118  451  451  i
 452  57  452  452  i
 453  1191  453  453  i
 454  2063  454  454  i
 455  1899  455  455  i
 456  1542  456  456  i
 457  77  457  457  i
 458  87  458  458  i
 459  98  459  459  i
 460  76  460  460  i
 461  1140  461  461  i
 462  1373  462  462  i
 463  2325  463  463  i
 464  1221  464  464  i
 465  59  465  465  i
 466  37  466  466  i
 467  1947  467  467  i
 468  2884  468  468  i
 469  3722  469  469  i
 470  3320  470  470  i
 471  2292  471  471  i
 472  335  472  472  i
 473  206  473  473  i
 474  1223  474  474  i
 475  1016  475  475  i
 476  961  476  476  i
 477  1104  477  477  i
 478  629  478  478  i
 479  75  479  479  i
 480  90  480  480  i
 481  726  481  481  i
 482  746  482  482  i
 483  821  483  483  i
 484  826  484  484  i
 485  795  485  485  i
 486  139  486  486  i
 487  102  487  487  i
 488  463  488  488  i
 489  618  489  489  i
 490  624  490  490  i


