2.5	    315
7.5	    40
12.5	48
17.5	120
22.5	204
27.5	323
32.5	492
37.5	736
42.5	1341
47.5	2015
52.5	2869
57.5	4474
62.5	7414
67.5	12388
72.5	18083
77.5	19874
82.5	20187
87.5	21535
92.5	18966

