
# Curve 0 of 1, 221 points
# Curve title: "2nd dose"
# x y xlow xhigh type
-1  0 -1 -1  i
 361  0  361  361  i

-1  0 -1 -1  i
 362  0  362  362  i

-1  0 -1 -1  i
 362  0  362  362  i
 363  0  363  363  i
 364  0  364  364  i

-1  0 -1 -1  i
 364  0  364  364  i
 365  0  365  365  i
 366  0  366  366  i
 367  0  367  367  i

-1  0 -1 -1  i
 367  0  367  367  i
 368  0  368  368  i
 369  0  369  369  i

-1  0 -1 -1  i
 369  0  369  369  i
 370  0  370  370  i

-1  0 -1 -1  i
 371  0  371  371  i

-1  0 -1 -1  i
 371  0  371  371  i

-1  0 -1 -1  i
 372  0  372  372  i

-1  0 -1 -1  i
 372  0  372  372  i

-1  0 -1 -1  i
 372  0  372  372  i

-1  0 -1 -1  i
 372  0  372  372  i
 373  0  373  373  i
 374  0  374  374  i
 375  0  375  375  i

-1  0 -1 -1  i
 375  0  375  375  i
 376  0  376  376  i

-1  0 -1 -1  i
 376  0  376  376  i

-1  0 -1 -1  i
 376  0  376  376  i

-1  0 -1 -1  i
 376  0  376  376  i

-1  0 -1 -1  i
 377  0  377  377  i
 378  0  378  378  i

-1  0 -1 -1  i
 378  0  378  378  i
 379  0  379  379  i

-1  0 -1 -1  i
 379  0  379  379  i

-1  0 -1 -1  i
 379  0  379  379  i
 380  0  380  380  i

-1  0 -1 -1  i
 380  0  380  380  i

-1  0 -1 -1  i
 380  0  380  380  i

-1  0 -1 -1  i
 380  0  380  380  i

-1  0 -1 -1  i
 380  0  380  380  i

-1  1733 -1 -1  i
 380  0  380  380  i
 381  0  381  381  i
 382  18  382  382  i
 383  67  383  383  i

-1  7872 -1 -1  i
 383  7  383  383  i
 384  142  384  384  i
 385  130  385  385  i
 386  90  386  386  i
 387  49  387  387  i

-1  8671 -1 -1  i
 387  12  387  387  i
 388  29  388  388  i
 389  27  389  389  i
 390  77  390  390  i
 391  105  391  391  i

-1  4366 -1 -1  i
 391  0  391  391  i
 392  114  392  392  i

-1  2554 -1 -1  i
 392  0  392  392  i
 393  151  393  393  i

-1  14472 -1 -1  i
 393  108  393  393  i
 394  379  394  394  i
 395  107  395  395  i
 396  108  396  396  i
 397  168  397  397  i

-1  573 -1 -1  i
 397  17  397  397  i

-1  462 -1 -1  i
 397  32  397  397  i

-1  2778 -1 -1  i
 397  89  397  397  i

-1  23375 -1 -1  i
 397  83  397  397  i
 398  632  398  398  i
 399  908  399  399  i
 400  344  400  400  i

-1  7318 -1 -1  i
 400  497  400  400  i

-1  11750 -1 -1  i
 400  200  400  400  i
 401  782  401  401  i

-1  36374 -1 -1  i
 401  19  401  401  i
 402  129  402  402  i
 403  125  403  403  i
 404  673  404  404  i
 405  775  405  405  i
 406  865  406  406  i

-1  70983 -1 -1  i
 406  137  406  406  i
 407  1194  407  407  i
 408  893  408  408  i
 409  263  409  409  i
 410  49  410  410  i
 411  547  411  411  i
 412  631  412  412  i
 413  603  413  413  i
 414  554  414  414  i
 415  297  415  415  i

-1  374845 -1 -1  i
 415  208  415  415  i
 416  16  416  416  i
 417  15  417  417  i
 418  328  418  418  i
 419  373  419  419  i
 420  343  420  420  i
 421  298  421  421  i
 422  194  422  422  i
 423  21  423  423  i
 424  22  424  424  i
 425  167  425  425  i
 426  224  426  426  i
 427  254  427  427  i
 428  296  428  428  i
 429  415  429  429  i
 430  14  430  430  i
 431  30  431  431  i
 432  315  432  432  i
 433  338  433  433  i
 434  377  434  434  i
 435  585  435  435  i
 436  661  436  436  i
 437  81  437  437  i
 438  71  438  438  i
 439  540  439  439  i
 440  618  440  440  i
 441  694  441  441  i
 442  661  442  442  i
 443  1053  443  443  i
 444  72  444  444  i
 445  74  445  445  i
 446  1233  446  446  i
 447  2033  447  447  i
 448  3297  448  448  i
 449  3691  449  449  i
 450  4448  450  450  i
 451  1846  451  451  i
 452  1557  452  452  i
 453  7435  453  453  i
 454  8650  454  454  i
 455  12166  455  455  i
 456  15116  456  456  i
 457  7230  457  457  i
 458  5771  458  458  i
 459  4431  459  459  i
 460  3878  460  460  i
 461  14404  461  461  i
 462  11508  462  462  i
 463  18417  463  463  i
 464  16171  464  464  i
 465  10018  465  465  i
 466  6619  466  466  i
 467  15130  467  467  i
 468  14552  468  468  i
 469  16132  469  469  i


