 81  1  81  81  
 83  2  83  83  
 84  7  84  84  
 86  2  86  86  
 87  5  87  87  
 88  6  88  88  
 89  5  89  89  
 90  7  90  90  
 91  8  91  91  
 92  6  92  92  
 93  8  93  93  
 94  9  94  94  
 95  8  95  95  
 96  8  96  96  
 97  10  97  97  
 98  15  98  98  
 99  10  99  99  
 100  11  100  100  
 101  8  101  101  
 102  10  102  102  
 103  11  103  103  
 104  9  104  104  
 106  2  106  106  
 107  8  107  107  
 108  4  108  108  
 109  9  109  109  
 110  7  110  110  
 111  8  111  111  
 112  2  112  112  
 113  6  113  113  
 114  6  114  114  
 115  4  115  115  
 116  2  116  116  
 117  1  117  117  
 118  4  118  118  
 119  5  119  119  
 120  8  120  120  
 121  8  121  121  
 122  1  122  122  
 123  3  123  123  
 124  5  124  124  
 125  3  125  125  
 126  3  126  126  
 127  4  127  127  
 128  5  128  128  
 129  3  129  129  
 130  3  130  130  
 131  2  131  131  
 132  3  132  132  
 133  4  133  133  
 134  3  134  134  
 135  2  135  135  
 136  1  136  136  
 137  2  137  137  
 138  3  138  138  
 139  2  139  139  
 140  5  140  140  
 141  3  141  141  
 142  2  142  142  
 143  1  143  143  
 144  1  144  144  
 145  1  145  145  
 146  1  146  146  
 148  2  148  148  
 152  2  152  152  
 153  1  153  153  
 154  1  154  154  
 155  3  155  155  
 158  1  158  158  
 160  1  160  160  
 161  1  161  161  
 162  1  162  162  
 163  1  163  163  
 165  1  165  165  
 166  1  166  166  
 167  1  167  167  
 168  1  168  168  
 169  2  169  169  
 170  1  170  170  
 171  1  171  171  
 172  1  172  172  
 173  1  173  173  
 175  4  175  175  
 177  1  177  177  
 178  1  178  178  
 181  1  181  181  
 183  1  183  183  
 185  2  185  185  
 186  2  186  186  
 187  1  187  187  
 190  1  190  190  
 193  1  193  193  
 194  1  194  194  
 195  2  195  195  
 198  2  198  198  
 200  1  200  200  
 202  2  202  202  
 203  2  203  203  
 204  1  204  204  
 205  3  205  205  
 206  2  206  206  
 207  1  207  207  
 208  2  208  208  
 209  2  209  209  
 210  2  210  210  
 211  2  211  211  
 212  2  212  212  
 213  2  213  213  
 214  2  214  214  
 215  2  215  215  
 216  2  216  216  
 217  1  217  217  
 218  1  218  218  
 221  1  221  221  
 223  2  223  223  
 225  1  225  225  
 226  2  226  226  
 227  2  227  227  
 228  2  228  228  
 229  4  229  229  
 231  3  231  231  
 232  3  232  232  
 233  3  233  233  
 235  3  235  235  
 236  1  236  236  
 237  2  237  237  
 238  1  238  238  
 241  3  241  241  
 242  1  242  242  
 243  1  243  243  
 244  1  244  244  
 246  4  246  246  
 247  3  247  247  
 248  5  248  248  
 249  3  249  249  
 250  2  250  250  
 251  5  251  251  
 252  3  252  252  
 253  5  253  253  
 254  3  254  254  
 255  6  255  255  
 256  5  256  256  
 257  6  257  257  
 258  10  258  258  
 259  7  259  259  
 260  7  260  260  
 261  12  261  261  
 262  8  262  262  
 263  6  263  263  
 264  15  264  264  
 265  10  265  265  
 266  22  266  266  
 267  10  267  267  
 268  10  268  268  
 269  16  269  269  
 270  16  270  270  
 271  11  271  271  
 272  21  272  272  
 273  16  273  273  
 274  29  274  274  
 275  21  275  275  
 276  13  276  276  
 277  35  277  277  
