
# Curve 0 of 1, 62 points
# Curve title: "filter.' d20_21exc.dat'"
# x y type
 7 -67  i
 14 -10  i
 21 -37  i
 28 -37  i
 35 -57  i
 42 -6  i
 49 -12  i
 56 -52  i
 63  71  i
 70 -60  i
 77  14  i
 84  30  i
 91  70  i
 98  41  i
 105  24  i
 112  12  i
 119 -22  i
 126 -7  i
 133  4  i
 140 -53  i
 147 -52  i
 154 -57  i
 161  27  i
 168 -56  i
 175  9  i
 182 -15  i
 189  35  i
 196  12  i
 203 -40  i
 210 -65  i
 217  70  i
 224  77  i
 231  9  i
 238  24  i
 245 -51  i
 252 -39  i
 259  47  i
 266  118  i
 273  112  i
 280  52  i
 287  121  i
 294  333  i
 301  593  i
 308  776  i
 315  902  i
 322  575  i
 329  461  i
 336  392  i
 343  357  i
 350  395  i
 357  431  i
 364  400  i
 371  471  i
 372  530  i
 379  484  i
 386  346  i
 393  303  i
 400  207  i
 407  270  i
 414  226  i
 421  266  i
 428  423  i

