
# Curve 0 of 1, 62 points
# Curve title: "filter.' d20_21exc.dat'"
# x y type
 7 -15  i
 14 -21  i
 21 -22  i
 28 -15  i
 35 -64  i
 42 -27  i
 49 -46  i
 56 -54  i
 63 -11  i
 70 -16  i
 77 -4  i
 84  14  i
 91  8  i
 98 -31  i
 105  12  i
 112 -7  i
 119  20  i
 126 -41  i
 133 -31  i
 140  20  i
 147 -12  i
 154 -86  i
 161  7  i
 168 -52  i
 175  8  i
 182 -5  i
 189 -12  i
 196 -34  i
 203  2  i
 210  3  i
 217  17  i
 224 -17  i
 231  70  i
 238 -9  i
 245  20  i
 252  43  i
 259 -14  i
 266 -42  i
 273  21  i
 280  32  i
 287  46  i
 294  102  i
 301  121  i
 308  234  i
 315  167  i
 322  126  i
 329  99  i
 336  96  i
 343  122  i
 350  57  i
 357  111  i
 364  72  i
 371  112  i
 372  104  i
 379  183  i
 386  169  i
 393  110  i
 400  97  i
 407  110  i
 414  164  i
 421  139  i
 428  209  i

