
# Curve 0 of 1, 62 points
# Curve title: "filter.' d20_21exc.dat'"
# x y type
 7  11  i
 14  23  i
 21 -20  i
 28  3  i
 35 -8  i
 42 -35  i
 49 -21  i
 56 -4  i
 63 -8  i
 70  8  i
 77 -16  i
 84  23  i
 91  20  i
 98  21  i
 105  16  i
 112  6  i
 119  8  i
 126 -21  i
 133  8  i
 140  11  i
 147 -13  i
 154 -21  i
 161 -1  i
 168 -6  i
 175  14  i
 182 -1  i
 189 -1  i
 196 -11  i
 203 -10  i
 210  29  i
 217  29  i
 224  8  i
 231 -1  i
 238  16  i
 245 -1  i
 252 -6  i
 259  18  i
 266  16  i
 273  17  i
 280  17  i
 287 -19  i
 294  47  i
 301  35  i
 308  89  i
 315  58  i
 322  37  i
 329  63  i
 336  32  i
 343  43  i
 350  23  i
 357  19  i
 364  49  i
 371  20  i
 372  41  i
 379  63  i
 386  40  i
 393  48  i
 400  10  i
 407  18  i
 414  61  i
 421  51  i
 428  78  i

