
# Curve 0 of 1, 62 points
# Curve title: "filter.' d20_21exc.dat'"
# x y type
 7  14  i
 14 -3  i
 21  0  i
 28  12  i
 35 -14  i
 42  3  i
 49 -16  i
 56  0  i
 63 -1  i
 70 -10  i
 77 -5  i
 84  0  i
 91  0  i
 98  17  i
 105 -1  i
 112  2  i
 119 -24  i
 126  16  i
 133 -22  i
 140  24  i
 147 -20  i
 154  5  i
 161  0  i
 168 -2  i
 175 -4  i
 182  11  i
 189 -3  i
 196  4  i
 203  15  i
 210 -12  i
 217 -6  i
 224 -4  i
 231  1  i
 238  11  i
 245 -10  i
 252  22  i
 259  1  i
 266  29  i
 273 -2  i
 280 -1  i
 287  22  i
 294  17  i
 301  22  i
 308  8  i
 315  15  i
 322  13  i
 329  11  i
 336  29  i
 343  4  i
 350  12  i
 357  15  i
 364  15  i
 371  20  i
 372  28  i
 379  24  i
 386  3  i
 393  5  i
 400  11  i
 407  33  i
 414  20  i
 421  27  i
 428  40  i

