
# Curve 0 of 1, 62 points
# Curve title: "filter.' d20_21exc.dat'"
# x y type
 7  0  i
 14 -6  i
 21 -2  i
 28  6  i
 35 -9  i
 42 -2  i
 49 -4  i
 56 -23  i
 63 -6  i
 70 -1  i
 77 -7  i
 84 -2  i
 91 -8  i
 98 -16  i
 105 -8  i
 112 -12  i
 119  2  i
 126 -10  i
 133 -8  i
 140 -9  i
 147  2  i
 154 -1  i
 161 -13  i
 168 -7  i
 175 -13  i
 182 -15  i
 189  9  i
 196  8  i
 203  6  i
 210  11  i
 217  6  i
 224 -1  i
 231 -18  i
 238 -6  i
 245 -6  i
 252 -2  i
 259 -6  i
 266  12  i
 273  7  i
 280  3  i
 287  7  i
 294 -1  i
 301 -1  i
 308 -7  i
 315  1  i
 322 -10  i
 329 -10  i
 336 -2  i
 343 -8  i
 350  4  i
 357  0  i
 364  6  i
 371  8  i
 372  1  i
 379 -2  i
 386  2  i
 393 -2  i
 400 -5  i
 407  1  i
 414  3  i
 421 -23  i
 428 -13  i

