
# Curve 0 of 1, 62 points
# Curve title: "filter.' d20_21exc.dat'"
# x y type
 7  4  i
 14  47  i
 21 -3  i
 28 -16  i
 35  50  i
 42  20  i
 49  36  i
 56  8  i
 63  9  i
 70  17  i
 77  7  i
 84  33  i
 91  17  i
 98  22  i
 105  66  i
 112 -4  i
 119  12  i
 126  22  i
 133 -38  i
 140  52  i
 147 -17  i
 154  11  i
 161  11  i
 168 -21  i
 175  38  i
 182  26  i
 189  40  i
 196  42  i
 203 -28  i
 210 -37  i
 217  51  i
 224 -3  i
 231  33  i
 238 -4  i
 245 -4  i
 252  24  i
 259  5  i
 266  26  i
 273 -2  i
 280  66  i
 287  51  i
 294  137  i
 301  261  i
 308  321  i
 315  321  i
 322  288  i
 329  206  i
 336  160  i
 343  188  i
 350  127  i
 357  110  i
 364  67  i
 371  138  i
 372  173  i
 379  151  i
 386  199  i
 393  114  i
 400  99  i
 407  110  i
 414  71  i
 421  69  i
 428  119  i

