
# Curve 0 of 1, 62 points
# Curve title: "filter.' d20_21exc.dat'"
# x y type
 7  6  i
 14  0  i
 21  2  i
 28 -14  i
 35  7  i
 42 -2  i
 49 -3  i
 56 -13  i
 63 -2  i
 70 -2  i
 77 -1  i
 84  0  i
 91  5  i
 98  3  i
 105 -8  i
 112  8  i
 119 -4  i
 126  11  i
 133 -5  i
 140  1  i
 147  3  i
 154 -2  i
 161 -7  i
 168  1  i
 175  8  i
 182 -2  i
 189  2  i
 196 -1  i
 203 -12  i
 210  2  i
 217 -10  i
 224  14  i
 231  7  i
 238  2  i
 245 -6  i
 252  11  i
 259 -2  i
 266 -5  i
 273  1  i
 280 -6  i
 287 -8  i
 294  3  i
 301  3  i
 308  2  i
 315  19  i
 322  8  i
 329  6  i
 336  4  i
 343  1  i
 350  1  i
 357  11  i
 364  8  i
 371  7  i
 372  15  i
 379  12  i
 386  10  i
 393  2  i
 400  5  i
 407  1  i
 414 -2  i
 421  4  i
 428 -2  i

