7 29 0
7 39 6
7 49 14
7 59 11
7 69 -15
7 79 31
7 89 -67
7 90 4
14 29 -6
14 39 0
14 49 -3
14 59 23
14 69 -21
14 79 2
14 89 -10
14 90 47
21 29 -2
21 39 2
21 49 0
21 59 -20
21 69 -22
21 79 16
21 89 -37
21 90 -3
28 29 6
28 39 -14
28 49 12
28 59 3
28 69 -15
28 79 33
28 89 -37
28 90 -16
35 29 -9
35 39 7
35 49 -14
35 59 -8
35 69 -64
35 79 -33
35 89 -57
35 90 50
42 29 -2
42 39 -2
42 49 3
42 59 -35
42 69 -27
42 79 -43
42 89 -6
42 90 20
49 29 -4
49 39 -3
49 49 -16
49 59 -21
49 69 -46
49 79 -52
49 89 -12
49 90 36
56 29 -23
56 39 -13
56 49 0
56 59 -4
56 69 -54
56 79 -11
56 89 -52
56 90 8
63 29 -6
63 39 -2
63 49 -1
63 59 -8
63 69 -11
63 79 -5
63 89 71
63 90 9
70 29 -1
70 39 -2
70 49 -10
70 59 8
70 69 -16
70 79 -27
70 89 -60
70 90 17
77 29 -7
77 39 -1
77 49 -5
77 59 -16
77 69 -4
77 79 52
77 89 14
77 90 7
84 29 -2
84 39 0
84 49 0
84 59 23
84 69 14
84 79 28
84 89 30
84 90 33
91 29 -8
91 39 5
91 49 0
91 59 20
91 69 8
91 79 58
91 89 70
91 90 17
98 29 -16
98 39 3
98 49 17
98 59 21
98 69 -31
98 79 134
98 89 41
98 90 22
105 29 -8
105 39 -8
105 49 -1
105 59 16
105 69 12
105 79 -7
105 89 24
105 90 66
112 29 -12
112 39 8
112 49 2
112 59 6
112 69 -7
112 79 29
112 89 12
112 90 -4
119 29 2
119 39 -4
119 49 -24
119 59 8
119 69 20
119 79 -64
119 89 -22
119 90 12
126 29 -10
126 39 11
126 49 16
126 59 -21
126 69 -41
126 79 91
126 89 -7
126 90 22
133 29 -8
133 39 -5
133 49 -22
133 59 8
133 69 -31
133 79 -3
133 89 4
133 90 -38
140 29 -9
140 39 1
140 49 24
140 59 11
140 69 20
140 79 -43
140 89 -53
140 90 52
147 29 2
147 39 3
147 49 -20
147 59 -13
147 69 -12
147 79 33
147 89 -52
147 90 -17
154 29 -1
154 39 -2
154 49 5
154 59 -21
154 69 -86
154 79 -6
154 89 -57
154 90 11
161 29 -13
161 39 -7
161 49 0
161 59 -1
161 69 7
161 79 92
161 89 27
161 90 11
168 29 -7
168 39 1
168 49 -2
168 59 -6
168 69 -52
168 79 -19
168 89 -56
168 90 -21
175 29 -13
175 39 8
175 49 -4
175 59 14
175 69 8
175 79 -14
175 89 9
175 90 38
182 29 -15
182 39 -2
182 49 11
182 59 -1
182 69 -5
182 79 14
182 89 -15
182 90 26
189 29 9
189 39 2
189 49 -3
189 59 -1
189 69 -12
189 79 -4
189 89 35
189 90 40
196 29 8
196 39 -1
196 49 4
196 59 -11
196 69 -34
196 79 20
196 89 12
196 90 42
203 29 6
203 39 -12
203 49 15
203 59 -10
203 69 2
203 79 24
203 89 -40
203 90 -28
210 29 11
210 39 2
210 49 -12
210 59 29
210 69 3
210 79 -16
210 89 -65
210 90 -37
217 29 6
217 39 -10
217 49 -6
217 59 29
217 69 17
217 79 64
217 89 70
217 90 51
224 29 -1
224 39 14
224 49 -4
224 59 8
224 69 -17
224 79 63
224 89 77
224 90 -3
231 29 -18
231 39 7
231 49 1
231 59 -1
231 69 70
231 79 61
231 89 9
231 90 33
238 29 -6
238 39 2
238 49 11
238 59 16
238 69 -9
238 79 58
238 89 24
238 90 -4
245 29 -6
245 39 -6
245 49 -10
245 59 -1
245 69 20
245 79 -59
245 89 -51
245 90 -4
252 29 -2
252 39 11
252 49 22
252 59 -6
252 69 43
252 79 66
252 89 -39
252 90 24
259 29 -6
259 39 -2
259 49 1
259 59 18
259 69 -14
259 79 93
259 89 47
259 90 5
266 29 12
266 39 -5
266 49 29
266 59 16
266 69 -42
266 79 39
266 89 118
266 90 26
273 29 7
273 39 1
273 49 -2
273 59 17
273 69 21
273 79 78
273 89 112
273 90 -2
280 29 3
280 39 -6
280 49 -1
280 59 17
280 69 32
280 79 67
280 89 52
280 90 66
287 29 7
287 39 -8
287 49 22
287 59 -19
287 69 46
287 79 192
287 89 121
287 90 51
294 29 -1
294 39 3
294 49 17
294 59 47
294 69 102
294 79 214
294 89 333
294 90 137
301 29 -1
301 39 3
301 49 22
301 59 35
301 69 121
301 79 472
301 89 593
301 90 261
308 29 -7
308 39 2
308 49 8
308 59 89
308 69 234
308 79 729
308 89 776
308 90 321
315 29 1
315 39 19
315 49 15
315 59 58
315 69 167
315 79 642
315 89 902
315 90 321
322 29 -10
322 39 8
322 49 13
322 59 37
322 69 126
322 79 591
322 89 575
322 90 288
329 29 -10
329 39 6
329 49 11
329 59 63
329 69 99
329 79 413
329 89 461
329 90 206
336 29 -2
336 39 4
336 49 29
336 59 32
336 69 96
336 79 323
336 89 392
336 90 160
343 29 -8
343 39 1
343 49 4
343 59 43
343 69 122
343 79 317
343 89 357
343 90 188
350 29 4
350 39 1
350 49 12
350 59 23
350 69 57
350 79 258
350 89 395
350 90 127
357 29 0
357 39 11
357 49 15
357 59 19
357 69 111
357 79 299
357 89 431
357 90 110
364 29 6
364 39 8
364 49 15
364 59 49
364 69 72
364 79 353
364 89 400
364 90 67
371 29 8
371 39 7
371 49 20
371 59 20
371 69 112
371 79 398
371 89 471
371 90 138
372 29 1
372 39 15
372 49 28
372 59 41
372 69 104
372 79 570
372 89 530
372 90 173
379 29 -2
379 39 12
379 49 24
379 59 63
379 69 183
379 79 500
379 89 484
379 90 151
386 29 2
