25	8.496445
49	35.97258
70	39.23657
53	40.42904
42	22.11856
29	26.70906
26	12.043321
18	5.284685
18	4.021655
10	4.6666678
15	3.6511989
7	5.948106
8	5.902105
13	11.008863
8	6.155892
8	6.636028
12	5.221363
12	6.313072
13	19.757995
10	13.47841
11	20.71085
22	16.815419
12	20.58561
16	24.55655
27	34.13839
55	75.1576
89	105.41576
127	142.87305
293	237.5846
453	469.3284
823	797.7628
1289	1260.4831
1541	1512.921
1320	1543.737
997	1110.8797
896	774.2579
753	671.8671
670	593.5223
770	651.618
751	756.0776
949	749.7483
1167	1180.0659
1177	1691.558
1033	1118.8197
981	889.5416
893	830.3028
912	818.2649
1073	950.674
1151	1241.1088
1350	1479.6946
1476	1561.7872
1408	1397.5612
1208	1234.1709
714	956.9104
714	711.9552
