
# Curve 0 of 7, 85 points
# Curve title: ""umrti.csv" u ($2):(strptime("%Y-%m-%d",strcol(1)) < strptime("%Y-%m-%d","2021-04-01") ? 1 : 0 )"
# x y xlow xhigh type
4 8  1  8  8  i
4 11  1  11  11  i
4 16  1  16  16  i
4 17  1  17  17  i
4 24  1  24  24  i
4 25  2  25  25  i
4 26  3  26  26  i
4 27  6  27  27  i
4 29  3  29  29  i
4 30  7  30  30  i
4 31  4  31  31  i
4 32  4  32  32  i
4 33  7  33  33  i
4 34  9  34  34  i
4 35  6  35  35  i
4 36  12  36  36  i
4 37  12  37  37  i
4 38  8  38  38  i
4 39  8  39  39  i
4 40  18  40  40  i
4 41  12  41  41  i
4 42  15  42  42  i
4 43  17  43  43  i
4 44  21  44  44  i
4 45  19  45  45  i
4 46  44  46  46  i
4 47  30  47  47  i
4 48  28  48  48  i
4 49  52  49  49  i
4 50  54  50  50  i
4 51  40  51  51  i
4 52  63  52  52  i
4 53  40  53  53  i
4 54  59  54  54  i
4 55  86  55  55  i
4 56  103  56  56  i
4 57  108  57  57  i
4 58  106  58  58  i
4 59  131  59  59  i
4 60  155  60  60  i
4 61  159  61  61  i
4 62  160  62  62  i
4 63  244  63  63  i
4 64  273  64  64  i
4 65  318  65  65  i
4 66  351  66  66  i
4 67  390  67  67  i
4 68  483  68  68  i
4 69  533  69  69  i
4 70  599  70  70  i
4 71  649  71  71  i
4 72  717  72  72  i
4 73  838  73  73  i
4 74  880  74  74  i
4 75  899  75  75  i
4 76  911  76  76  i
4 77  926  77  77  i
4 78  931  78  78  i
4 79  921  79  79  i
4 80  962  80  80  i
4 81  919  81  81  i
4 82  868  82  82  i
4 83  803  83  83  i
4 84  803  84  84  i
4 85  823  85  85  i
4 86  809  86  86  i
4 87  798  87  87  i
4 88  787  88  88  i
4 89  789  89  89  i
4 90  614  90  90  i
4 91  555  91  91  i
4 92  404  92  92  i
4 93  322  93  93  i
4 94  282  94  94  i
4 95  180  95  95  i
4 96  142  96  96  i
4 97  100  97  97  i
4 98  69  98  98  i
4 99  37  99  99  i
4 100  22  100  100  i
4 101  8  101  101  i
4 102  2  102  102  i
4 103  2  103  103  i
4 104  4  104  104  i



# Curve 1 of 7, 85 points
# Curve title: ""umrti.csv" u ($2):(strptime("%Y-%m-%d",strcol(1)) < strptime("%Y-%m-%d","2021-03-01") ? 1 : 0 )"
# x y xlow xhigh type
3 8  1  8  8  i
3 11  0  11  11  i
3 16  1  16  16  i
3 17  1  17  17  i
3 24  1  24  24  i
3 25  2  25  25  i
3 26  3  26  26  i
3 27  4  27  27  i
3 29  3  29  29  i
3 30  5  30  30  i
3 31  4  31  31  i
3 32  4  32  32  i
3 33  7  33  33  i
3 34  9  34  34  i
3 35  3  35  35  i
3 36  10  36  36  i
3 37  9  37  37  i
3 38  8  38  38  i
3 39  6  39  39  i
3 40  16  40  40  i
3 41  12  41  41  i
3 42  14  42  42  i
3 43  17  43  43  i
3 44  15  44  44  i
3 45  14  45  45  i
3 46  40  46  46  i
3 47  21  47  47  i
3 48  20  48  48  i
3 49  46  49  49  i
3 50  46  50  50  i
3 51  34  51  51  i
3 52  51  52  52  i
3 53  32  53  53  i
3 54  53  54  54  i
3 55  69  55  55  i
3 56  84  56  56  i
3 57  92  57  57  i
3 58  93  58  58  i
3 59  118  59  59  i
3 60  123  60  60  i
3 61  138  61  61  i
3 62  136  62  62  i
3 63  211  63  63  i
3 64  225  64  64  i
3 65  271  65  65  i
3 66  295  66  66  i
3 67  316  67  67  i
3 68  416  68  68  i
3 69  446  69  69  i
3 70  512  70  70  i
3 71  548  71  71  i
3 72  624  72  72  i
3 73  716  73  73  i
3 74  760  74  74  i
3 75  773  75  75  i
3 76  805  76  76  i
3 77  809  77  77  i
3 78  818  78  78  i
3 79  803  79  79  i
3 80  838  80  80  i
3 81  792  81  81  i
3 82  786  82  82  i
